"filename", "language", "JavaScript", "CSS", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"d:\VscodeField\ChongJun\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 33, 71
"d:\VscodeField\ChongJun\package-lock.json", "JSON", 0, 0, 0, 12034, 0, 0, 1, 12035
"d:\VscodeField\ChongJun\package.json", "JSON", 0, 0, 0, 45, 0, 0, 1, 46
"d:\VscodeField\ChongJun\public\index.html", "HTML", 0, 0, 0, 0, 20, 23, 1, 44
"d:\VscodeField\ChongJun\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 1, 26
"d:\VscodeField\ChongJun\src\App.js", "JavaScript", 17, 0, 0, 0, 0, 1, 3, 21
"d:\VscodeField\ChongJun\src\IRouter.js", "JavaScript", 215, 0, 0, 0, 0, 21, 5, 241
"d:\VscodeField\ChongJun\src\apis\admin.js", "JavaScript", 452, 0, 0, 0, 0, 32, 3, 487
"d:\VscodeField\ChongJun\src\apis\company.js", "JavaScript", 396, 0, 0, 0, 0, 28, 5, 429
"d:\VscodeField\ChongJun\src\apis\urls.js", "JavaScript", 97, 0, 0, 0, 0, 70, 5, 172
"d:\VscodeField\ChongJun\src\apis\verification.js", "JavaScript", 42, 0, 0, 0, 0, 0, 1, 43
"d:\VscodeField\ChongJun\src\component\centerRow\centerRow.js", "JavaScript", 14, 0, 0, 0, 0, 0, 2, 16
"d:\VscodeField\ChongJun\src\component\menu\menu.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\VscodeField\ChongJun\src\component\menu\menu.js", "JavaScript", 119, 0, 0, 0, 0, 13, 10, 142
"d:\VscodeField\ChongJun\src\component\table\AccountTable\AccountTable.js", "JavaScript", 268, 0, 0, 0, 0, 0, 6, 274
"d:\VscodeField\ChongJun\src\component\table\AdminTable\AdminTable.js", "JavaScript", 174, 0, 0, 0, 0, 0, 4, 178
"d:\VscodeField\ChongJun\src\component\table\CarouselTable\CarouselTable.js", "JavaScript", 181, 0, 0, 0, 0, 0, 6, 187
"d:\VscodeField\ChongJun\src\component\table\EJobTable\EJobTable.js", "JavaScript", 124, 0, 0, 0, 0, 0, 7, 131
"d:\VscodeField\ChongJun\src\component\table\EResumeTable\EResumeTable.js", "JavaScript", 65, 0, 0, 0, 0, 0, 4, 69
"d:\VscodeField\ChongJun\src\component\table\ESpecialRecruitmentTable\ESpecialRecruitmentTable.js", "JavaScript", 86, 0, 0, 0, 0, 0, 3, 89
"d:\VscodeField\ChongJun\src\component\table\EnterpriseAccountTable\EnterpriseAccountTable.js", "JavaScript", 89, 0, 0, 0, 0, 26, 2, 117
"d:\VscodeField\ChongJun\src\component\table\EnterpriseAuditTable\EnterpriseAuditTable.js", "JavaScript", 123, 0, 0, 0, 0, 0, 3, 126
"d:\VscodeField\ChongJun\src\component\table\EnterpriseTable\EnterpriseTable.js", "JavaScript", 63, 0, 0, 0, 0, 0, 2, 65
"d:\VscodeField\ChongJun\src\component\table\JobTable\JobTable.js", "JavaScript", 118, 0, 0, 0, 0, 0, 7, 125
"d:\VscodeField\ChongJun\src\component\table\ResumeTable\ResumeTable.js", "JavaScript", 74, 0, 0, 0, 0, 0, 3, 77
"d:\VscodeField\ChongJun\src\component\table\SpecialRecruitmentTable\SpecialRecruitmentTable.js", "JavaScript", 80, 0, 0, 0, 0, 0, 3, 83
"d:\VscodeField\ChongJun\src\config\BackstageMenuConfig.js", "JavaScript", 71, 0, 0, 0, 0, 29, 2, 102
"d:\VscodeField\ChongJun\src\config\EnterpriseMenuConfig.js", "JavaScript", 27, 0, 0, 0, 0, 1, 2, 30
"d:\VscodeField\ChongJun\src\config\adminType.js", "JavaScript", 4, 0, 0, 0, 0, 2, 1, 7
"d:\VscodeField\ChongJun\src\config\area.js", "JavaScript", 36, 0, 0, 0, 0, 2, 1, 39
"d:\VscodeField\ChongJun\src\config\companyType.js", "JavaScript", 1, 0, 0, 0, 0, 2, 1, 4
"d:\VscodeField\ChongJun\src\config\educationRequire.js", "JavaScript", 1, 0, 0, 0, 0, 2, 1, 4
"d:\VscodeField\ChongJun\src\config\expRequire.js", "JavaScript", 1, 0, 0, 0, 0, 2, 1, 4
"d:\VscodeField\ChongJun\src\config\jobType.js", "JavaScript", 1, 0, 0, 0, 0, 2, 1, 4
"d:\VscodeField\ChongJun\src\index.css", "CSS", 0, 3, 0, 0, 0, 1, 1, 5
"d:\VscodeField\ChongJun\src\index.js", "JavaScript", 10, 0, 0, 0, 0, 0, 3, 13
"d:\VscodeField\ChongJun\src\utils\clearName.js", "JavaScript", 3, 0, 0, 0, 0, 0, 1, 4
"d:\VscodeField\ChongJun\src\utils\clearToken.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 3
"d:\VscodeField\ChongJun\src\utils\http.js", "JavaScript", 240, 0, 0, 0, 0, 54, 25, 319
"d:\VscodeField\ChongJun\src\view\BackstageManagement\AuthorityManagement\AccountManagement\AccountManagement.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\VscodeField\ChongJun\src\view\BackstageManagement\AuthorityManagement\AccountManagement\AccountManagement.js", "JavaScript", 46, 0, 0, 0, 0, 0, 3, 49
