"filename", "language", "JavaScript", "Markdown", "CSS", "JSON", "comment", "blank", "total"
"d:\VscodeField\ChongJun\.VSCodeCounter\2022-03-13_21-20-00\details.md", "Markdown", 0, 124, 0, 0, 0, 6, 130
"d:\VscodeField\ChongJun\.VSCodeCounter\2022-03-13_21-20-00\diff-details.md", "Markdown", 0, 9, 0, 0, 0, 6, 15
"d:\VscodeField\ChongJun\.VSCodeCounter\2022-03-13_21-20-00\diff.md", "Markdown", 0, 12, 0, 0, 0, 7, 19
"d:\VscodeField\ChongJun\.VSCodeCounter\2022-03-13_21-20-00\results.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"d:\VscodeField\ChongJun\.VSCodeCounter\2022-03-13_21-20-00\results.md", "Markdown", 0, 90, 0, 0, 0, 7, 97
"d:\VscodeField\ChongJun\src\App.js", "JavaScript", 9, 0, 0, 0, 0, 1, 10
"d:\VscodeField\ChongJun\src\IRouter.js", "JavaScript", 36, 0, 0, 0, 0, 1, 37
"d:\VscodeField\ChongJun\src\apis\admin.js", "JavaScript", 252, 0, 0, 0, 18, 0, 270
"d:\VscodeField\ChongJun\src\apis\company.js", "JavaScript", 56, 0, 0, 0, 4, 0, 60
"d:\VscodeField\ChongJun\src\apis\urls.js", "JavaScript", 22, 0, 0, 0, 19, 1, 42
"d:\VscodeField\ChongJun\src\component\menu\menu.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"d:\VscodeField\ChongJun\src\component\table\AccountTable\AccountTable.js", "JavaScript", 4, 0, 0, 0, 0, 0, 4
"d:\VscodeField\ChongJun\src\component\table\AdminTable\AdminTable.js", "JavaScript", 5, 0, 0, 0, 0, 0, 5
"d:\VscodeField\ChongJun\src\component\table\CarouselTable\CarouselTable.js", "JavaScript", 33, 0, 0, 0, 0, 1, 34
"d:\VscodeField\ChongJun\src\component\table\EJobTable\EJobTable.js", "JavaScript", 38, 0, 0, 0, 0, 0, 38
