"filename", "language", "Markdown", "JavaScript", "JSON", "CSS", "HTML", "comment", "blank", "total"
"d:\VscodeField\ChongJun\.VSCodeCounter\2022-03-13_21-20-00\details.md", "Markdown", 124, 0, 0, 0, 0, 0, 6, 130
"d:\VscodeField\ChongJun\.VSCodeCounter\2022-03-13_21-20-00\diff-details.md", "Markdown", 9, 0, 0, 0, 0, 0, 6, 15
"d:\VscodeField\ChongJun\.VSCodeCounter\2022-03-13_21-20-00\diff.md", "Markdown", 12, 0, 0, 0, 0, 0, 7, 19
"d:\VscodeField\ChongJun\.VSCodeCounter\2022-03-13_21-20-00\results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"d:\VscodeField\ChongJun\.VSCodeCounter\2022-03-13_21-20-00\results.md", "Markdown", 90, 0, 0, 0, 0, 0, 7, 97
"d:\VscodeField\ChongJun\README.md", "Markdown", 38, 0, 0, 0, 0, 0, 33, 71
"d:\VscodeField\ChongJun\package-lock.json", "JSON", 0, 0, 12034, 0, 0, 0, 1, 12035
"d:\VscodeField\ChongJun\package.json", "JSON", 0, 0, 45, 0, 0, 0, 1, 46
"d:\VscodeField\ChongJun\public\index.html", "HTML", 0, 0, 0, 0, 20, 23, 1, 44
"d:\VscodeField\ChongJun\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 1, 26
"d:\VscodeField\ChongJun\src\App.js", "JavaScript", 0, 26, 0, 0, 0, 1, 4, 31
"d:\VscodeField\ChongJun\src\IRouter.js", "JavaScript", 0, 251, 0, 0, 0, 21, 6, 278
"d:\VscodeField\ChongJun\src\apis\admin.js", "JavaScript", 0, 704, 0, 0, 0, 50, 3, 757
"d:\VscodeField\ChongJun\src\apis\company.js", "JavaScript", 0, 452, 0, 0, 0, 32, 5, 489
"d:\VscodeField\ChongJun\src\apis\urls.js", "JavaScript", 0, 119, 0, 0, 0, 89, 6, 214
"d:\VscodeField\ChongJun\src\apis\verification.js", "JavaScript", 0, 42, 0, 0, 0, 0, 1, 43
"d:\VscodeField\ChongJun\src\component\centerRow\centerRow.js", "JavaScript", 0, 14, 0, 0, 0, 0, 2, 16
"d:\VscodeField\ChongJun\src\component\menu\menu.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\VscodeField\ChongJun\src\component\menu\menu.js", "JavaScript", 0, 120, 0, 0, 0, 13, 10, 143
"d:\VscodeField\ChongJun\src\component\table\AccountTable\AccountTable.js", "JavaScript", 0, 272, 0, 0, 0, 0, 6, 278
"d:\VscodeField\ChongJun\src\component\table\AdminTable\AdminTable.js", "JavaScript", 0, 179, 0, 0, 0, 0, 4, 183
"d:\VscodeField\ChongJun\src\component\table\CarouselTable\CarouselTable.js", "JavaScript", 0, 214, 0, 0, 0, 0, 7, 221
"d:\VscodeField\ChongJun\src\component\table\EJobTable\EJobTable.js", "JavaScript", 0, 162, 0, 0, 0, 0, 7, 169
"d:\VscodeField\ChongJun\src\component\table\EResumeTable\EResumeTable.js", "JavaScript", 0, 66, 0, 0, 0, 0, 4, 70
"d:\VscodeField\ChongJun\src\component\table\ESpecialRecruitmentTable\ESpecialRecruitmentTable.js", "JavaScript", 0, 87, 0, 0, 0, 0, 3, 90
"d:\VscodeField\ChongJun\src\component\table\EnterpriseAccountTable\EnterpriseAccountTable.js", "JavaScript", 0, 244, 0, 0, 0, 0, 4, 248
"d:\VscodeField\ChongJun\src\component\table\EnterpriseAuditTable\EnterpriseAuditTable.js", "JavaScript", 0, 126, 0, 0, 0, 0, 3, 129
"d:\VscodeField\ChongJun\src\component\table\EnterpriseTable\EnterpriseTable.js", "JavaScript", 0, 64, 0, 0, 0, 0, 2, 66
"d:\VscodeField\ChongJun\src\component\table\JobTable\JobTable.js", "JavaScript", 0, 204, 0, 0, 0, 0, 7, 211
"d:\VscodeField\ChongJun\src\component\table\ResumeTable\ResumeTable.js", "JavaScript", 0, 75, 0, 0, 0, 0, 3, 78
"d:\VscodeField\ChongJun\src\component\table\SpecialRecruitmentTable\SpecialRecruitmentTable.js", "JavaScript", 0, 83, 0, 0, 0, 0, 3, 86
"d:\VscodeField\ChongJun\src\config\BackstageMenuConfig.js", "JavaScript", 0, 71, 0, 0, 0, 29, 2, 102
"d:\VscodeField\ChongJun\src\config\EnterpriseMenuConfig.js", "JavaScript", 0, 27, 0, 0, 0, 1, 2, 30
"d:\VscodeField\ChongJun\src\config\adminType.js", "JavaScript", 0, 4, 0, 0, 0, 2, 1, 7
"d:\VscodeField\ChongJun\src\config\area.js", "JavaScript", 0, 36, 0, 0, 0, 2, 1, 39
"d:\VscodeField\ChongJun\src\config\companyType.js", "JavaScript", 0, 1, 0, 0, 0, 2, 1, 4
"d:\VscodeField\ChongJun\src\config\educationRequire.js", "JavaScript", 0, 1, 0, 0, 0, 2, 1, 4
"d:\VscodeField\ChongJun\src\config\expRequire.js", "JavaScript", 0, 8, 0, 0, 0, 2, 1, 11
"d:\VscodeField\ChongJun\src\config\jobType.js", "JavaScript", 0, 1, 0, 0, 0, 2, 1, 4
"d:\VscodeField\ChongJun\src\index.css", "CSS", 0, 0, 0, 3, 0, 1, 1, 5
"d:\VscodeField\ChongJun\src\index.js", "JavaScript", 0, 6, 0, 0, 0, 0, 3, 9
"d:\VscodeField\ChongJun\src\utils\clearName.js", "JavaScript", 0, 3, 0, 0, 0, 0, 1, 4
"d:\VscodeField\ChongJun\src\utils\clearToken.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 3
"d:\VscodeField\ChongJun\src\utils\dowmloadPdf.js", "JavaScript", 0, 10, 0, 0, 0, 0, 1, 11
"d:\VscodeField\ChongJun\src\utils\http.js", "JavaScript", 0, 241, 0, 0, 0, 58, 24, 323
"d:\VscodeField\ChongJun\src\view\BackstageManagement\AuthorityManagement\AccountManagement\AccountManagement.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\VscodeField\ChongJun\src\view\BackstageManagement\AuthorityManagement\AccountManagement\AccountManagement.js", "JavaScript", 0, 70, 0, 0, 0, 0, 3, 73
"d:\VscodeField\ChongJun\src\view\BackstageManagement\AuthorityManagement\AdminReview\AdminReview.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\VscodeField\ChongJun\src\view\BackstageManagement\AuthorityManagement\AdminReview\AdminReview.js", "JavaScript", 0, 68, 0, 0, 0, 0, 3, 71
"d:\VscodeField\ChongJun\src\view\BackstageManagement\BillingManagement\BillingInformationCheck\BillingInformationCheck.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\VscodeField\ChongJun\src\view\BackstageManagement\BillingManagement\BillingInformationCheck\BillingInformationCheck.js", "JavaScript", 0, 11, 0, 0, 0, 0, 2, 13
"d:\VscodeField\ChongJun\src\view\BackstageManagement\BillingManagement\BillingInformationProcessing\BillingInformationProcessing.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\VscodeField\ChongJun\src\view\BackstageManagement\BillingManagement\BillingInformationProcessing\BillingInformationProcessing.js", "JavaScript", 0, 11, 0, 0, 0, 0, 4, 15
"d:\VscodeField\ChongJun\src\view\BackstageManagement\BusinessManagement\EnterpriseAccountManagement\EnterpriseAccountManagement.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\VscodeField\ChongJun\src\view\BackstageManagement\BusinessManagement\EnterpriseAccountManagement\EnterpriseAccountManagement.js", "JavaScript", 0, 113, 0, 0, 0, 0, 4, 117
"d:\VscodeField\ChongJun\src\view\BackstageManagement\BusinessManagement\EnterpriseAudit\EnterpriseAudit.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\VscodeField\ChongJun\src\view\BackstageManagement\BusinessManagement\EnterpriseAudit\EnterpriseAudit.js", "JavaScript", 0, 69, 0, 0, 0, 0, 3, 72
"d:\VscodeField\ChongJun\src\view\BackstageManagement\BusinessManagement\EnterpriseDetails\EnterpriseDetails.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\VscodeField\ChongJun\src\view\BackstageManagement\BusinessManagement\EnterpriseDetails\EnterpriseDetails.js", "JavaScript", 0, 179, 0, 0, 0, 1, 4, 184
"d:\VscodeField\ChongJun\src\view\BackstageManagement\ChongjunEmployment\JobDatabase\JobDatabase.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\VscodeField\ChongJun\src\view\BackstageManagement\ChongjunEmployment\JobDatabase\JobDatabase.js", "JavaScript", 0, 148, 0, 0, 0, 0, 4, 152
"d:\VscodeField\ChongJun\src\view\BackstageManagement\ChongjunEmployment\ResumeDatabase\ResumeDatabase.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\VscodeField\ChongJun\src\view\BackstageManagement\ChongjunEmployment\ResumeDatabase\ResumeDatabase.js", "JavaScript", 0, 170, 0, 0, 0, 0, 4, 174
"d:\VscodeField\ChongJun\src\view\BackstageManagement\ChongjunEmployment\SpecialRecruitment\SpecialRecruitment.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\VscodeField\ChongJun\src\view\BackstageManagement\ChongjunEmployment\SpecialRecruitment\SpecialRecruitment.js", "JavaScript", 0, 80, 0, 0, 0, 0, 4, 84
"d:\VscodeField\ChongJun\src\view\BackstageManagement\CourseManagement\AllOrders\AllOrders.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\VscodeField\ChongJun\src\view\BackstageManagement\CourseManagement\AllOrders\AllOrders.js", "JavaScript", 0, 11, 0, 0, 0, 0, 3, 14
"d:\VscodeField\ChongJun\src\view\BackstageManagement\CourseManagement\RefundProcessing\RefundProcessing.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\VscodeField\ChongJun\src\view\BackstageManagement\CourseManagement\RefundProcessing\RefundProcessing.js", "JavaScript", 0, 11, 0, 0, 0, 0, 4, 15
"d:\VscodeField\ChongJun\src\view\BackstageManagement\Detail\EnterpriseDetail\EnterpriseDetail.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\VscodeField\ChongJun\src\view\BackstageManagement\Detail\EnterpriseDetail\EnterpriseDetail.js", "JavaScript", 0, 102, 0, 0, 0, 0, 3, 105
"d:\VscodeField\ChongJun\src\view\BackstageManagement\Detail\JobDetail\JobDetail.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 3
"d:\VscodeField\ChongJun\src\view\BackstageManagement\Detail\JobDetail\JobDetail.js", "JavaScript", 0, 224, 0, 0, 0, 0, 4, 228
"d:\VscodeField\ChongJun\src\view\BackstageManagement\Detail\ResumeDetail\ResumeDetail.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 3
"d:\VscodeField\ChongJun\src\view\BackstageManagement\Detail\ResumeDetail\ResumeDetail.js", "JavaScript", 0, 303, 0, 0, 0, 0, 3, 306
"d:\VscodeField\ChongJun\src\view\BackstageManagement\Detail\SpecialDetail\SpecialDetail.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\VscodeField\ChongJun\src\view\BackstageManagement\Detail\SpecialDetail\SpecialDetail.js", "JavaScript", 0, 187, 0, 0, 0, 1, 3, 191
"d:\VscodeField\ChongJun\src\view\BackstageManagement\DisplayManagement\AboutUs\AboutUs.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 3
"d:\VscodeField\ChongJun\src\view\BackstageManagement\DisplayManagement\AboutUs\AboutUs.js", "JavaScript", 0, 282, 0, 0, 0, 0, 12, 294
"d:\VscodeField\ChongJun\src\view\BackstageManagement\DisplayManagement\CarouselSettings\CarouselSettings.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\VscodeField\ChongJun\src\view\BackstageManagement\DisplayManagement\CarouselSettings\CarouselSettings.js", "JavaScript", 0, 44, 0, 0, 0, 0, 3, 47
"d:\VscodeField\ChongJun\src\view\BackstageManagement\DisplayManagement\PrivacyAgreement\PrivacyAgreement.css", "CSS", 0, 0, 0, 3, 0, 0, 1, 4
"d:\VscodeField\ChongJun\src\view\BackstageManagement\DisplayManagement\PrivacyAgreement\PrivacyAgreement.js", "JavaScript", 0, 99, 0, 0, 0, 0, 4, 103
"d:\VscodeField\ChongJun\src\view\BackstageManagement\Edit\AddPosition\AddPosition.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\VscodeField\ChongJun\src\view\BackstageManagement\Edit\AddPosition\AddPosition.js", "JavaScript", 0, 476, 0, 0, 0, 0, 3, 479
"d:\VscodeField\ChongJun\src\view\BackstageManagement\Edit\AddSpecialRecruit\AddSpecialRecruit.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\VscodeField\ChongJun\src\view\BackstageManagement\Edit\AddSpecialRecruit\AddSpecialRecruit.js", "JavaScript", 0, 353, 0, 0, 0, 30, 11, 394
"d:\VscodeField\ChongJun\src\view\BackstageManagement\Edit\EditJob\EditJob.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\VscodeField\ChongJun\src\view\BackstageManagement\Edit\EditJob\EditJob.js", "JavaScript", 0, 408, 0, 0, 0, 0, 3, 411
"d:\VscodeField\ChongJun\src\view\BackstageManagement\Edit\EditSpecialRecruit\EditSpecialRecruit.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\VscodeField\ChongJun\src\view\BackstageManagement\Edit\EditSpecialRecruit\EditSpecialRecruit.js", "JavaScript", 0, 365, 0, 0, 0, 0, 13, 378
"d:\VscodeField\ChongJun\src\view\EnterpriseManagement\CorporateInformation\CorporateInformation.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\VscodeField\ChongJun\src\view\EnterpriseManagement\CorporateInformation\CorporateInformation.js", "JavaScript", 0, 107, 0, 0, 0, 0, 4, 111
"d:\VscodeField\ChongJun\src\view\EnterpriseManagement\Detail\EPositionResumeDetail\EPositionResumeDetail.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\VscodeField\ChongJun\src\view\EnterpriseManagement\Detail\EPositionResumeDetail\EPositionResumeDetail.js", "JavaScript", 0, 175, 0, 0, 0, 0, 3, 178
"d:\VscodeField\ChongJun\src\view\EnterpriseManagement\Detail\EResumeDetail\EResumeDetail.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\VscodeField\ChongJun\src\view\EnterpriseManagement\Detail\EResumeDetail\EResumeDetail.js", "JavaScript", 0, 77, 0, 0, 0, 0, 4, 81
"d:\VscodeField\ChongJun\src\view\EnterpriseManagement\Detail\ESpecialDetail\ESpecialDetail.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\VscodeField\ChongJun\src\view\EnterpriseManagement\Detail\ESpecialDetail\ESpecialDetail.js", "JavaScript", 0, 137, 0, 0, 0, 0, 4, 141
"d:\VscodeField\ChongJun\src\view\EnterpriseManagement\Detail\ESpecialJobDetail\ESpecialJobDetail.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\VscodeField\ChongJun\src\view\EnterpriseManagement\Detail\ESpecialJobDetail\ESpecialJobDetail.js", "JavaScript", 0, 135, 0, 0, 0, 0, 4, 139
"d:\VscodeField\ChongJun\src\view\EnterpriseManagement\Detail\EjobDetail\EjobDetail.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
